Giá,Diện tích,Mặt tiền,Đường trước nhà,Số tầng,Số phòng,Số toilet,Nội thất_cơ bản,Nội thất_không,Nội thất_đầy đủ
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
6.0,36.0,4.0,5.0,4.0,5.0,4.0,0,1,0
35.9,135.0,12.0,12.0,5.0,6.0,6.0,0,1,0
9.5,45.0,4.0,6.0,6.0,5.0,5.0,0,0,1
3.6,40.0,4.0,6.0,2.0,2.0,2.0,0,1,0
7.9,55.0,4.0,5.0,2.0,3.0,2.0,0,1,0
5.2,59.0,7.0,4.0,5.0,7.0,8.0,0,1,0
7.2,77.0,4.0,6.0,4.0,5.0,5.0,0,1,0
5.6,65.0,4.0,10.0,3.0,6.0,5.0,0,1,0
12.0,90.0,5.0,20.0,4.0,6.0,4.0,0,1,0
13.6,195.9,8.0,12.0,3.0,6.0,6.0,0,1,0
8.5,40.0,4.0,20.0,3.0,3.0,2.0,0,1,0
2.8,46.0,5.0,1.0,1.0,2.0,1.0,0,1,0
11.5,100.0,5.0,20.0,4.0,6.0,4.0,0,1,0
11.0,45.0,1.0,1.0,1.0,1.0,1.0,0,1,0
7.5,50.0,1.0,1.0,1.0,1.0,1.0,0,1,0
4.5,36.0,4.0,9.0,3.0,3.0,4.0,0,1,0
9.5,50.0,4.0,7.0,4.0,4.0,4.0,0,1,0
3.8,40.0,4.0,4.0,4.0,4.0,4.0,0,1,0
8.0,59.9,4.0,4.0,6.0,11.0,6.0,0,1,0
5.2,50.0,4.0,6.0,2.0,3.0,3.0,0,1,0
4.2,33.0,4.0,8.0,2.0,2.0,2.0,0,1,0
7.9,55.0,4.0,5.0,2.0,3.0,2.0,0,1,0
4.9,30.0,4.0,8.0,4.0,3.0,4.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
6.5,70.0,7.0,4.0,3.0,9.0,9.0,0,1,0
24.0,148.0,7.0,16.0,2.0,2.0,2.0,0,1,0
7.9,55.0,4.0,5.0,2.0,3.0,2.0,0,1,0
11.5,63.0,5.0,16.0,6.0,18.0,16.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
22.9,85.0,4.0,20.0,2.0,2.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
12.5,85.0,5.0,18.0,2.0,4.0,4.0,0,1,0
5.5,52.0,4.0,6.0,5.0,4.0,4.0,0,1,0
2.2,20.0,3.0,3.0,3.0,2.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
5.8,51.0,5.0,4.0,2.0,3.0,2.0,0,1,0
11.0,95.0,6.0,4.0,1.0,3.0,2.0,0,1,0
7.9,55.0,4.0,5.0,2.0,3.0,2.0,0,1,0
16.5,96.0,6.0,8.0,6.0,9.0,4.0,0,1,0
3.6,45.0,5.0,3.0,3.0,3.0,3.0,0,1,0
5.6,36.0,4.0,6.0,4.0,3.0,3.0,0,0,1
35.0,145.0,13.0,20.0,1.0,4.0,4.0,0,1,0
16.0,129.0,4.0,7.0,6.0,32.0,32.0,0,1,0
67.0,305.0,12.0,10.0,4.0,6.0,6.0,0,1,0
16.5,96.0,6.0,8.0,5.0,9.0,4.0,0,0,1
3.4,39.0,4.0,5.0,2.0,2.0,2.0,0,1,0
1.9,50.0,1.0,1.0,1.0,1.0,1.0,0,1,0
7.9,55.0,4.0,5.0,2.0,3.0,2.0,0,1,0
66.5,230.0,12.0,8.0,9.0,52.0,55.0,0,1,0
7.9,55.0,4.0,5.0,2.0,3.0,2.0,0,1,0
6.0,45.0,4.0,4.0,4.0,4.0,3.0,0,1,0
6.0,45.0,4.0,4.0,4.0,4.0,3.0,0,1,0
6.0,45.0,4.0,4.0,4.0,4.0,3.0,0,1,0
6.0,45.0,4.0,4.0,4.0,4.0,3.0,0,1,0
6.0,45.0,4.0,4.0,4.0,4.0,3.0,0,1,0
6.0,45.0,4.0,4.0,4.0,4.0,3.0,0,1,0
6.0,45.0,4.0,4.0,4.0,4.0,3.0,0,1,0
3.7,47.0,4.0,3.0,2.0,2.0,2.0,0,1,0
2.8,46.0,5.0,3.0,1.0,1.0,1.0,0,1,0
14.0,85.0,5.0,10.0,5.0,5.0,5.0,0,1,0
3.0,51.0,4.0,5.0,2.0,2.0,2.0,0,1,0
3.0,51.0,4.0,5.0,2.0,2.0,2.0,0,1,0
649.0,64.0,4.0,5.0,1.0,2.0,1.0,0,1,0
3.8,48.0,4.0,5.0,2.0,3.0,2.0,0,1,0
23.9,97.0,9.0,12.0,4.0,5.0,5.0,0,0,1
27.0,283.0,12.0,12.0,1.0,1.0,1.0,0,1,0
4.5,20.0,3.0,6.0,3.0,2.0,2.0,0,1,0
23.0,100.0,6.0,8.0,4.0,5.0,6.0,0,1,0
3.0,51.0,4.0,5.0,2.0,2.0,2.0,0,1,0
6.0,100.0,5.0,1.0,1.0,1.0,1.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.0,100.0,5.0,1.0,1.0,1.0,1.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
6.5,40.0,4.0,4.0,4.0,6.0,4.0,0,1,0
230.0,276.0,8.0,10.0,7.0,34.0,35.0,0,1,0
6.9,53.0,3.0,4.0,3.0,4.0,3.0,0,1,0
6.9,53.0,3.0,4.0,3.0,4.0,3.0,0,1,0
6.9,53.0,3.0,4.0,3.0,4.0,3.0,0,1,0
6.9,53.0,3.0,4.0,3.0,4.0,3.0,0,1,0
6.9,53.0,3.0,4.0,3.0,4.0,3.0,0,1,0
6.9,53.0,3.0,5.0,3.0,4.0,3.0,0,1,0
6.9,53.0,3.0,5.0,3.0,4.0,3.0,0,1,0
62.0,333.0,13.0,6.0,3.0,9.0,9.0,0,1,0
7.1,40.0,4.0,5.0,5.0,8.0,8.0,0,1,0
3.0,51.0,4.0,5.0,2.0,2.0,2.0,0,1,0
2.7,23.0,4.0,3.0,4.0,2.0,3.0,0,1,0
1.4,56.0,1.0,5.0,1.0,2.0,3.0,0,0,1
5.7,35.0,12.0,5.0,4.0,4.0,5.0,0,1,0
3.0,51.0,4.0,5.0,2.0,2.0,2.0,0,1,0
