,Giá,Diện tích,Mặt tiền,Số tầng,Số phòng,Số toilet,Không,Đầy đủ,Cơ bản
387,5.3,56.0,4,2,2,2,1,0,0
388,36.0,151.0,1,1,1,1,1,0,0
389,19.8,64.0,4,4,8,1,1,0,0
390,29.9,80.0,4,4,8,9,0,0,1
391,15.39921028024911,101.02365867867587,1,1,1,1,1,0,0
392,21.0,170.0,6,2,10,10,1,0,0
393,3.2,52.0,4,2,2,1,1,0,0
394,2.8,22.0,3,4,3,3,1,0,0
395,6.99,90.0,9,4,5,5,1,0,0
396,5.2,80.0,5,4,4,5,1,0,0
397,45.0,103.0,6,4,8,8,0,0,1
398,7.45,50.0,4,4,4,10,1,0,0
399,28.0,81.0,1,1,1,1,1,0,0
400,3.2,55.0,4,1,2,2,1,0,0
401,8.9,100.0,5,3,5,4,1,0,0
402,8.9,100.0,5,3,5,4,1,0,0
403,8.9,100.0,5,3,5,4,1,0,0
404,8.9,100.0,5,3,5,4,1,0,0
405,8.9,100.0,5,3,5,4,1,0,0
406,8.9,100.0,5,3,5,4,1,0,0
407,3.2,55.0,4,1,2,2,1,0,0
408,14.7,68.0,6,3,4,4,1,0,0
409,14.7,76.0,4,5,8,8,1,0,0
410,14.7,76.0,4,5,8,8,1,0,0
411,14.7,76.0,4,5,8,8,1,0,0
412,14.7,68.0,6,3,4,4,1,0,0
413,14.7,76.0,4,5,8,8,1,0,0
414,14.7,76.0,4,5,8,8,1,0,0
415,14.7,76.0,4,5,8,8,1,0,0
416,14.7,76.0,4,5,8,8,1,0,0
417,5.2,95.0,5,4,4,5,1,0,0
418,7.9,86.0,6,4,4,5,1,0,0
419,15.39921028024911,101.02365867867587,1,1,1,1,1,0,0
420,6.3,45.0,4,2,3,3,1,0,0
421,6.8,63.0,4,2,3,3,1,0,0
422,5.8,53.0,4,2,2,2,1,0,0
423,9.2,60.0,5,4,4,4,1,0,0
424,3.6,35.0,1,2,2,1,0,1,0
425,6.9,68.0,5,1,3,2,1,0,0
426,2.3,24.0,4,3,3,3,0,0,1
427,2.3,70.0,7,1,2,1,1,0,0
428,4.65,43.0,1,3,3,1,0,1,0
429,9.7,66.0,6,2,2,2,0,0,1
430,4.9,45.0,4,2,3,2,1,0,0
431,4.1,53.0,1,2,3,1,0,1,0
432,6.6,86.0,4,3,3,3,1,0,0
433,7.2,58.0,6,4,4,5,1,0,0
434,6.48,83.0,8,3,4,5,1,0,0
435,4.28,40.0,4,3,4,4,1,0,0
436,8.8,125.0,4,2,2,2,1,0,0
437,6.2,78.0,4,3,4,5,1,0,0
438,2.5,23.0,4,1,3,2,0,1,0
439,74.0,1600.0,20,4,6,8,1,0,0
440,7.5,68.0,4,5,5,5,1,0,0
441,7.3,58.0,4,3,3,4,1,0,0
442,7.3,58.0,4,3,3,4,1,0,0
443,8.7,56.0,4,4,4,5,1,0,0
444,25.0,210.0,10,4,6,7,1,0,0
445,9.0,116.0,6,2,2,2,1,0,0
446,2.6,17.0,1,1,1,1,1,0,0
447,2.6,17.0,1,1,2,1,1,0,0
448,12.3,80.0,4,4,4,5,1,0,0
449,6.25,88.0,5,2,4,2,1,0,0
450,8.6,65.0,5,2,3,3,1,0,0
451,8.7,88.0,4,2,4,2,1,0,0
452,10.5,65.0,6,3,4,5,1,0,0
453,10.3,65.0,6,3,4,5,1,0,0
454,4.35,32.0,4,1,3,4,1,0,0
455,4.4,48.0,4,4,4,4,1,0,0
456,2.7,40.0,1,2,2,1,0,1,0
457,6.5,83.0,8,3,4,5,1,0,0
458,16.0,150.0,1,1,3,2,1,0,0
459,16.0,140.0,1,1,3,2,1,0,0
460,6.4,85.0,9,3,4,5,1,0,0
461,2.9,45.0,5,2,2,2,1,0,0
462,2.9,45.0,5,2,2,2,1,0,0
463,2.8,30.0,3,2,2,2,1,0,0
464,14.2,170.0,11,3,10,10,1,0,0
465,6.9,78.0,5,4,1,1,1,0,0
466,5.3,158.0,23,1,8,8,1,0,0
467,7.6,50.0,5,3,4,5,1,0,0
468,6.5,35.0,5,3,3,2,1,0,0
469,1.55,14.0,3,3,2,3,1,0,0
470,12.0,100.0,5,3,4,5,1,0,0
471,1.8,117.0,1,1,1,1,1,0,0
472,4.6,43.0,4,4,5,3,1,0,0
473,1.55,14.0,3,3,2,3,1,0,0
474,6.2,84.42,4,2,4,3,0,1,0
